family,threshold,fires,fires_per_day,hit_rate_%,roi_per_unit_%
runs,0.0,11283,20.97,64.6,23.2
runs,0.25,10077,18.73,67.1,28.0
runs,0.5,9064,16.85,69.2,32.1
runs,0.75,8108,15.07,71.4,36.4
runs,1.0,7088,13.17,73.9,41.1
runs,1.5,5570,10.35,78.2,49.3
runs,2.0,4243,7.89,82.6,57.7
pct,0.0,11283,20.97,64.6,23.2
pct,0.03,10028,18.64,67.2,28.3
pct,0.05,9261,17.21,69.0,31.7
pct,0.07,8492,15.78,70.6,34.8
pct,0.1,7497,13.93,73.0,39.4
pct,0.15,6013,11.18,77.3,47.5
z,0.0,11283,20.97,64.6,23.2
z,0.1,9883,18.37,67.5,28.9
z,0.15,9155,17.02,69.0,31.8
z,0.2,8550,15.89,70.4,34.4
z,0.25,8048,14.96,71.6,36.6
z,0.35,7001,13.01,74.2,41.6
