indicator,BF,IP,runs_per_pa,rpp_lift,RA9,RA9_lift,WHIP,welch_t,welch_p,reliable
TTO2 top5 all Back,25929,5765.7,0.1426,0.0296,5.77,1.42,1.515,9.81,1.07e-22,True
TTO2 top4 all Back,20847,4611.3,0.1453,0.0323,5.91,1.56,1.544,9.63,6.45e-22,True
TTO2 top3 all Back,15702,3450.7,0.1461,0.033,5.98,1.63,1.564,8.66,5.07e-18,True
TTO3 top4 all All,38086,8629.0,0.1285,0.0155,5.1,0.75,1.419,6.34,2.26e-10,True
TTO3 top5 all All,44485,10105.0,0.1264,0.0134,5.01,0.65,1.406,5.9,3.7e-09,True
TTO2 top4 all All,50594,11546.0,0.1242,0.0112,4.9,0.54,1.397,5.24,1.6e-07,True
TTO3 top3 all All,30217,6782.3,0.1269,0.0139,5.09,0.73,1.453,5.21,1.94e-07,True
TTO3 top4 all Back,15044,3368.7,0.1316,0.0186,5.29,0.93,1.47,5.02,5.23e-07,True
TTO2 top5 all All,63008,14463.7,0.1228,0.0098,4.82,0.46,1.371,4.99,6.05e-07,True
TTO3 top5 all Back,17461,3907.3,0.1299,0.0168,5.22,0.87,1.473,4.92,8.53e-07,True
TTO3 top4 all Mid,17267,3905.7,0.1291,0.016,5.14,0.78,1.429,4.64,3.59e-06,True
TTO3 top4 PC>75 All,17298,3962.7,0.1283,0.0152,5.04,0.68,1.373,4.38,1.17e-05,True
TTO3 top3 all Back,12023,2666.0,0.1307,0.0177,5.31,0.95,1.508,4.32,1.59e-05,True
TTO3 top5 all Mid,20260,4600.0,0.1267,0.0136,5.02,0.66,1.409,4.27,1.99e-05,True
TTO2 top3 all All,38063,8645.7,0.1227,0.0096,4.86,0.5,1.412,4.04,5.33e-05,True
TTO3 top4 PC>75 Mid,7947,1795.0,0.1336,0.0206,5.32,0.97,1.432,4.0,6.38e-05,True
TTO3 top5 PC>75 All,22356,5133.0,0.1252,0.0122,4.91,0.55,1.361,4.0,6.3e-05,True
TTO3 top3 all Mid,13624,3053.7,0.1283,0.0153,5.15,0.8,1.46,3.98,6.9e-05,True
TTO3 top5 PC>75 Mid,10273,2338.3,0.1293,0.0162,5.11,0.76,1.392,3.62,0.000292,True
TTO3 top3 PC>75 Mid,5458,1208.7,0.1339,0.0209,5.44,1.09,1.501,3.4,0.000682,True
TTO3 top3 PC>75 All,11876,2679.7,0.1259,0.0128,5.02,0.67,1.431,3.15,0.00162,True
TTO3 top5 PC>75 Back,8595,1950.0,0.1253,0.0123,4.97,0.61,1.424,2.62,0.00877,True
TTO3 top4 PC>75 Back,6673,1521.3,0.1265,0.0134,4.99,0.64,1.402,2.51,0.0121,True
TTO2 top4 PC>75 Ace,173,38.3,0.2197,0.1066,8.92,4.57,1.539,2.01,0.046,True
